teamId,gameId,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
239,401525844,"""baylor-bears""","""Baylor""","""Bears""","""Baylor""","""BAY""","""Baylor Bears""","""Bears""",154734,ffb81c
241,401547171,"""mcmurry-indians""","""McMurry""","""Indians""","""McMurry""","""MMR""","""McMurry Indians""","""Indians""",98002e,000000
242,401531423,"""rice-owls""","""Rice""","""Owls""","""Rice""","""RICE""","""Rice Owls""","""Owls""",d1d5d8,003d7d
245,401520270,"""texas-am-aggies""","""Texas A&M""","""Aggies""","""Texas A&M""","""TA&M""","""Texas A&M Aggies""","""Aggies""",500000,ffffff
246,401550347,"""juniata-eagles""","""Juniata""","""Eagles""","""Juniata""","""JUN""","""Juniata Eagles""","""Eagles""",031832,ac9c66
247,401558400,"""kings-college-pa-monarchs""","""Kings College (PA)""","""Monarchs""","""Kings (PA)""","""KING""","""Kings College (PA) Monarchs""","""Monarchs""",c41230,000000
248,401520254,"""houston-cougars""","""Houston""","""Cougars""","""Houston""","""HOU""","""Houston Cougars""","""Cougars""",c92a39,ffffff
249,401531436,"""north-texas-mean-green""","""North Texas""","""Mean Green""","""North Texas""","""UNT""","""North Texas Mean Green""","""Mean Green""",ffffff,000000
251,401525844,"""texas-longhorns""","""Texas""","""Longhorns""","""Texas""","""TEX""","""Texas Longhorns""","""Longhorns""",c15d26,ffffff
252,401525847,"""byu-cougars""","""BYU""","""Cougars""","""BYU""","""BYU""","""BYU Cougars""","""Cougars""",001E4C,ffffff
253,401540207,"""southern-utah-thunderbirds""","""Southern Utah""","""Thunderbirds""","""Southern Utah""","""SUU""","""Southern Utah Thunderbirds""","""Thunderbirds""",c72026,000000
254,401524017,"""utah-utes""","""Utah""","""Utes""","""Utah""","""UTAH""","""Utah Utes""","""Utes""",ea002a,ffffff
255,401549668,"""knox-college-prairie-fire""","""Knox College""","""Prairie Fire""","""Knox College""","""KNO""","""Knox College Prairie Fire""","""Prairie Fire""",000000,
256,401531872,"""james-madison-dukes""","""James Madison""","""Dukes""","""James Madison""","""JMU""","""James Madison Dukes""","""Dukes""",450084,cbb778
257,401540573,"""richmond-spiders""","""Richmond""","""Spiders""","""Richmond""","""RICH""","""Richmond Spiders""","""Spiders""",9e0712,b90b2e
258,401525505,"""virginia-cavaliers""","""Virginia""","""Cavaliers""","""Virginia""","""UVA""","""Virginia Cavaliers""","""Cavaliers""",f84c1e,ffffff
259,401525511,"""virginia-tech-hokies""","""Virginia Tech""","""Hokies""","""Virginia Tech""","""VT""","""Virginia Tech Hokies""","""Hokies""",630031,cf4520
262,401549668,"""lake-forest-foresters""","""Lake Forest""","""Foresters""","""Lake Forest""","""LAK""","""Lake Forest Foresters""","""Foresters""",000000,
263,401547109,"""loras-college-duhawks""","""Loras College""","""Duhawks""","""Loras College""","""LOR""","""Loras College Duhawks""","""Duhawks""",452d7d,d2b888
264,401524018,"""washington-huskies""","""Washington""","""Huskies""","""Washington""","""WASH""","""Washington Huskies""","""Huskies""",33006f,e8d3a2
265,401524019,"""washington-state-cougars""","""Washington State""","""Cougars""","""Washington St""","""WSU""","""Washington State Cougars""","""Cougars""",94022a,6a747c
266,401549652,"""beloit-college-buccaneers""","""Beloit College""","""Buccaneers""","""Beloit College""","""BEL""","""Beloit College Buccaneers""","""Buccaneers""",000000,
268,401550203,"""lawrence-university-vikings""","""Lawrence University""","""Vikings""","""Lawrence""","""LAW""","""Lawrence University Vikings""","""Vikings""",000000,
271,401541132,"""wisconsin-oshkosh-titans""","""Wisconsin-Oshkosh""","""Titans""","""Wis Osh""","""WIS""","""Wisconsin-Oshkosh Titans""","""Titans""",000000,
272,401550421,"""wisconsin-platteville-pioneers""","""Wisconsin-Platteville""","""Pioneers""","""Wis Platte""","""WIS""","""Wisconsin-Platteville Pioneers""","""Pioneers""",000000,
275,401520266,"""wisconsin-badgers""","""Wisconsin""","""Badgers""","""Wisconsin""","""WIS""","""Wisconsin Badgers""","""Badgers""",c4012f,ffffff
276,401525511,"""marshall-thundering-herd""","""Marshall""","""Thundering Herd""","""Marshall""","""MRSH""","""Marshall Thundering Herd""","""Thundering Herd""",00ae42,be854c
277,401525850,"""west-virginia-mountaineers""","""West Virginia""","""Mountaineers""","""West Virginia""","""WVU""","""West Virginia Mountaineers""","""Mountaineers""",002855,eaaa00
278,401532407,"""fresno-state-bulldogs""","""Fresno State""","""Bulldogs""","""Fresno St""","""FRES""","""Fresno State Bulldogs""","""Bulldogs""",c41230,231f20
282,401540300,"""indiana-state-sycamores""","""Indiana State""","""Sycamores""","""Indiana St""","""INST""","""Indiana State Sycamores""","""Sycamores""",00669a,f0f0f0
284,401540040,"""stonehill-skyhawks""","""Stonehill""","""Skyhawks""","""Stonehill""","""STO""","""Stonehill Skyhawks""","""Skyhawks""",000000,
286,401550362,"""nc-wesleyan-battling-bishops""","""NC Wesleyan""","""Battling Bishops""","""UNC Welseyan""","""NOR""","""NC Wesleyan Battling Bishops""","""Battling Bishops""",000000,
290,401531871,"""georgia-southern-eagles""","""Georgia Southern""","""Eagles""","""GA Southern""","""GASO""","""Georgia Southern Eagles""","""Eagles""",003775,f0f0f0
291,401549805,"""methodist-monarchs""","""Methodist""","""Monarchs""","""Methodist""","""MET""","""Methodist Monarchs""","""Monarchs""",000000,
293,401549625,"""castleton-spartans""","""Castleton""","""Spartans""","""Castleton""","""CAS""","""Castleton Spartans""","""Spartans""",000000,
295,401531873,"""old-dominion-monarchs""","""Old Dominion""","""Monarchs""","""Old Dominion""","""ODU""","""Old Dominion Monarchs""","""Monarchs""",00507d,a1d2f1
297,401550318,"""hampden-sydney-tigers""","""Hampden-Sydney""","""Tigers""","""Hampden-Syd""","""HAC""","""Hampden-Sydney Tigers""","""Tigers""",900028,a8b1b7
301,401540467,"""san-diego-toreros""","""San Diego""","""Toreros""","""San Diego""","""USD""","""San Diego Toreros""","""Toreros""",2f99d4,2f99d4
302,401540237,"""uc-davis-aggies""","""UC Davis""","""Aggies""","""UC Davis""","""UCD""","""UC Davis Aggies""","""Aggies""",002855,c3c4c6
304,401540252,"""idaho-state-bengals""","""Idaho State""","""Bengals""","""Idaho St""","""IDST""","""Idaho State Bengals""","""Bengals""",ef8c00,e9a126
306,401547215,"""illinois-wesleyan-titans""","""Illinois Wesleyan""","""Titans""","""Illinois Wesleyan""","""ILW""","""Illinois Wesleyan Titans""","""Titans""",000000,
308,401540972,"""ashland-eagles""","""Ashland""","""Eagles""","""Ashland""","""ASH""","""Ashland Eagles""","""Eagles""",000000,
309,401531875,"""louisiana-ragin-cajuns""","""Louisiana""","""Ragin' Cajuns""","""Louisiana""","""UL""","""Louisiana Ragin' Cajuns""","""Ragin' Cajuns""",ce2842,
311,401540489,"""maine-black-bears""","""Maine""","""Black Bears""","""Maine""","""ME""","""Maine Black Bears""","""Black Bears""",127dbe,
317,401544098,"""marietta-pioneers""","""Marietta""","""Pioneers""","""Marietta""","""MAR""","""Marietta Pioneers""","""Pioneers""",000000,
319,401541777,"""oklahoma-baptist-bison""","""Oklahoma Baptist""","""Bison""","""Oklahoma Bapt""","""OKB""","""Oklahoma Baptist Bison""","""Bison""",,
322,401540073,"""lafayette-leopards""","""Lafayette""","""Leopards""","""Lafayette""","""LAF""","""Lafayette Leopards""","""Leopards""",790000,a59474
323,401541056,"""moravian-greyhounds""","""Moravian""","""Greyhounds""","""Moravian""","""MOR""","""Moravian Greyhounds""","""Greyhounds""",1f3361,a5a6a9
324,401531849,"""coastal-carolina-chanticleers""","""Coastal Carolina""","""Chanticleers""","""Coastal Car""","""CCU""","""Coastal Carolina Chanticleers""","""Chanticleers""",007073,876447
