gameId,homeTeamId,homeTeamName ,awayTeamId,awayTeamName,homeTeamScore,awayTeamScore
401549582,,Ithaca Bombers,,Hobart Statesmen,24,14
401520268,183,Syracuse Orange,349,Army Black Knights,29,16
401547207,,University of New England Nor'easters,,University of Rochester (NY) Yellow Jackets,27,29
401550249,,Ohio Northern Polar Bears,,Baldwin Wallace Yellow Jackets,21,31
401532405,189,Bowling Green Falcons,195,Ohio Bobcats,7,38
401550069,,Hanover Panthers,,Defiance Yellow Jackets,21,27
401550277,,Heidelberg Student Princes,,John Carroll Blue Streaks,7,34
401532408,,Miami (OH) RedHawks,,Delaware State Hornets,62,20
401521330,87,Notre Dame Fighting Irish,194,Ohio State Buckeyes,14,17
401532405,189,Bowling Green Falcons,195,Ohio Bobcats,7,38
401541961,,Missouri Southern State Lions,,Northeastern State River Hawks,42,0
401525846,66,Iowa State Cyclones,197,Oklahoma State Cowboys,34,27
401541770,,Southeastern Oklahoma State Savage Storm,,Northwestern Oklahoma State Rangers,41,2
401541794,,Southern Nazarene Crimson Storm,,Southwestern Oklahoma State Bulldogs,41,7
401525845,2132,Cincinnati Bearcats,201,Oklahoma Sooners,6,20
401531338,2459,Northern Illinois Huskies,202,Tulsa Golden Hurricane,14,22
401550464,,Linfield Wildcats,,Willamette Bearcats,70,14
401524019,265,Washington State Cougars,204,Oregon State Beavers,38,35
401568380,,Pacific (OR) Boxers,,Puget Sound Loggers,28,14
401541026,,Lock Haven Bald Eagles,,East Stroudsburg Warriors,21,35
401545886,,Millersville Marauders,,West Chester Golden Rams,23,14
401520265,213,Penn State Nittany Lions,2294,Iowa Hawkeyes,31,0
401545968,,Seton Hill Griffins,,Slippery Rock The Rock,14,35
401549820,,Susquehanna University River Hawks,,Western New England Golden Bears,26,18
401525509,218,Temple Owls,2390,Miami Hurricanes,7,41
401540048,,Bucknell Bison,,Pennsylvania Quakers,21,37
401525510,221,Pittsburgh Panthers,153,North Carolina Tar Heels,24,41
